16.2	22	26.5	30.1	12.3	27.5	12.7	19.5	21.4
19.1	20.6	26.4	30.3	23.1	28.4	13.6	15.9	20.7
17.2	21.2	28.3	30.1	17.6	28.9	18.1	20.6	21.3
17.1	21.1	29.6	29.9	19.4	28.3	18	22.5	20.5
15.5	22.5	31.4	30.3	16.2	25.9	17.9	20	21
19.5	23.7	32	30.2	19.2	28	16.3	20.8	19.3
20.9	20.4	29.4	30.4	22	27	15.3	21.2	19
18.9	21.4	31.1	30.5	21.1	29.3	17.2	23.1	19.8
17.8	22.7	32.3	30.4	21.8	29.5	14.5	23	19
21.7	22.9	27.4	30.4	21.6	28.9	16.3	26.3	22.1
20.9	18.9	25.7	29.6	24.5	27.3	17.2	27.9	23.8
13.9	21.7	28.7	28.9	19.6	28.7	13.2	26.8	22.2
16.3	24.2	30.4	28.9	18.8	30.1	16.5	24.6	21.8
17.8	27.7	29.8	29.4	19.8	29	16.7	23.9	22.3
17.2	24.9	29.8	29.7	19.7	26.3	17.6	22.7	19.8
16.2	24.8	30.5	29.6	18.6	26	18.6	23.6	19.3
18.5	24	30.4	29.6	14.9	27.7	15.1	24.9	18
19.3	22.4	30.1	30.2	14.2	28.2	17.2	27.3	18.3
19.4	20.6	26.8	30.5	18.5	29.1	19.4	26.6	23.2
20.2	21.8	28.1	29.7	18.4	31.1	16.6	26.9	21.6
21.2	21.3	27.1	28.9	16.1	31.5	15.9	25.6	21.9
21.9	21.5	29.1	29.6	17.2	29.7	16.1	26.2	22.6
21.1	21.7	30.6	29.6	16.2	27.5	17.6	26.8	22
21.1	23.1	27.1	29.5	17.1	24.8	14.7	26.3	21.9
18.9	24.1	29	29.3	19.1	28	12.1	26.6	18.6
20.2	21.7	30.6	29.7	20.5	28.8	14.2	24.9	18
22.1	22.9	30	30	16.1	29.6	14.6	25.2	19.6
22.8	26.8	26.4	30.5	17.3	29.7	16.3	28.1	20.1
21	28.2	27.1	30.2	20.1	29.2	19.2	28.1	17.6
22.3	28.4	27.8	28.4	20.9	29	19.8	28.3	17.5
22.1	27.7	26.5	28.1	19.4	27.7	18.6	27.3	18.2
19.8	29.8	29.1	27.4	18.2	28.4	18.1	25.2	17.9
22.3	28.4	30.1	28.8	19.3	29.2	17.4	25.4	18.1
24.1	27.2	31.8	28.8	18.2	29.2	17.6	26	20.1
24.8	27.3	32.2	28.9	20.5	29.2	19.3	26.1	21.4
25.1	27.3	31.5	29.2	18.4	30.1	20	24.1	20.8
22.1	28	30	29.3	20.5	26.2	17.1	24	19
24	28.5	27.4	29.5	16.8	25.7	17	25.9	19.7
21.3	28.8	28.4	29.7	18.1	26.9	12.3	27.5	21
20.7	29.2	30.5	29.2	19.2	26.3	10.9	28.7	16.4
22.6	29.1	30.3	29.5	17.9	28.7	11.2	28.9	20.6
24.4	29.6	30.1	29.5	19.9	27.6	10.7	25.6	21.5
25.2	30.1	31.3	28.4	18.7	28.3	12.1	27.7	20.6
25.5	29	29.5	28	18.5	29.1	16.1	28.8	22.1
22.3	29.6	27.7	28.2	20.2	29.8	17.1	28.9	22.2
22.2	31	28	28.5	20.9	30.2	17.4	26.2	21.5
23	29.4	29.7	29.2	21.5	29.5	17.3	24.2	21.1
23.3	29.8	29.7	29.7	22.4	25.4	19	26.2	18.7
20.4	30.1	29.2	29.3	21.5	27.1	19.3	26.9	19.8
22.2	30.3	30.5	29.6	21.1	28.6	18.9	28.1	19.2
23.5	30.7	27.2	29.9	21	29.4	20.3	28.1	19.5
22.3	31.2	27.1	29.8	18.7	30.9	23.2	28.7	22
21.8	31.4	28.3	29.7	18.9	28.7	21.5	26.9	22.5
21.8	30.8	26.1	30.2	20.4	24.9	20	21.3	21.1
22	30.5	28.9	29.9	20.7	27.3	22.4	23.2	25.6
23.6	30	28.4	29.9	23.3	28	20.7	24.9	22.8
22.9	30.5	29.1	29.7	24.7	27.4	18.5	25.5	24.2
22.4	30.4	29.7	29.7	24	29	14	23.7	25.5
20.5	30.8	30.9	29.6	24.7	29.4	14	20.2	25.9
23.2	29.9	32	29.4	21.4	29.3	14.8	20	22.6
22.9	28.9	31.2	29.8	19.5	27	18.6	22.4	23.7
19.2	28.8	27.1	29.6	19.9	27.9	19	22.8	21.4
19.6	29.1	28.4	29.8	21.3	28.4	16.6	21.8	21.8
20.6	30.5	28.7	29.7	19.9	27.9	18.5	23.2	20
23.1	28.1	30.1	29.6	20.1	25.2	18.7	24.5	21.9
23.7	28.7	3.3	30	22.9	26.4	22	25.3	23.1
24.2	28	30	28.9	21.9	25	21.8	25.2	22.5
23.7	28.8	26.6	28.5	21.3	26.4	20.8	24.8	22.6
24.4	29.7	28.5	28.1	21.1	26.8	20.9	25.5	25.9
24.9	29.3	28.4	27.9	24.5	27.7	21.7	26.7	25.2
25.8	29.9	28.9	28.3	25.3	27.7	23.8	26.8	26.6
26.3	27.4	29.7	28.9	25.4	27	17	24.9	26.6
26.5	26.1	30.4	28.7	27.5	28.3	21.4	24.3	22.8
25.2	27.4	30.3	28.9	26.5	28.3	21.3	25.4	24.2
21.1	30.1	27.7	27.9	26.7	27.8	19.7	25.1	26.9
22.2	27.8	28.2	28.6	24.6	28.7	21.8	24.5	26.1
25.9	26.7	29.4	27.5	24.3	29.2	20.1	22.1	27.7
28.4	25.3	30.2	26.5	25.8	29	21.8	21.3	27.7
28	25.1	25.9	26.6	25.8	29	22.5	20.8	25.3
28.6	27	26.5	27.6	24	28.9	22.2	23.8	26.5
27.8	25.4	25.7	27	26.3	28.4	23.5	23.7	26.7
27.6	24.7	27	26	26.3	29.1	20.2	23.4	25.3
27.5	25.2	27.6	28.1	26.2	29.7	20.6	23	21.7
28.3	23	28.1	28.2	27.3	30.4	22.6	21.9	22.9
28.4	23.5	27.4	27.8	29	29.2	19.5	22.7	23.9
29	24.8	28.3	28.2	26.8	24.9	15.9	22.2	26.1
28.7	25.5	27.6	28.7	27.1	26.2	20.6	22.4	27.2
28	26.7	28.3	28.9	27.5	26.1	22.5	22.8	28.2
28.2	27.7	28.6	29	30.4	27.1	20	21.8	26.8
29.4	25.4	29.8	28.8	30.1	27.4	20.8	19.6	25.7
30.4	24.4	30.2	28.1	29.4	25.8	21.2	21.6	27.3
31.3	25.1	30.5	28.8	29.1	26.6	23.1	22.2	26.9
28.7	26.4	30.7	28.4	29.1	27.2	23	22	23
23.7	25.6	29.3	26.9	29.7	28	26.3	21.5	23.7
27	25.9	29.4	27.2	26.8	28.4	27.9	18.2	23.3
28.6	26.6	28.8	25.8	25.5	24.8	26.8	16.3	25.1
28.9	25.2	29.9	26	27	26.4	24.6	15.6	24.8
29.2	26.2	31.1	26.3	26.5	24.8	23.9	16.6	26.2
24.4	26.2	30.1	26.8	26.4	25.4	22.7	17	25.6
25.4	24.7	25.7	26.8	28	27.1	23.6	16.7	26.9
26.5	25.1	27.6	26.8	28.7	27.3	24.9	17.1	25.4
27.9	25.9	25.9	27.7	29.4	26.9	27.3	17.7	26
27.9	24.1	27.5	25.9	27.5	26.3	26.6	18.4	25.7
26.5	26.3	28.3	26.7	27.2	26.1	26.9	17.3	25.5
23.5	24.6	25.4	27.2	27.6	24	25.6	18.9	25.1
23.2	26.5	25.9	28	28.9	24.9	26.2	17.8	26.4
23.4	27	27.5	27.1	28.7	26.6	26.8	19.1	26.2
21.4	26.8	28.7	25.7	28.8	27	26.3	20.1	25.2
22.2	24	29	26.3	28.5	27.2	26.6	19.6	25.8
23.2	24.4	24.8	26.9	29.1	26.4	24.9	15	24.9
25.7	26.6	26.9	27.3	29.8	26.2	25.2	16.8	25.6
26.3	26.3	26.4	27.6	30.1	25.8	28.1	16.8	25.4
26.6	27.8	27.2	26.5	28.6	26.8	28.1	18.9	26.1
25.6	22.9	27	27.5	28.6	26.4	28.3	-9	26.3
27.3	20	28	27.8	25	24.8	27.3	-9	26.1
27.1	20.5	27.1	27.4	24	25.3	25.2	-9	24.4
25.8	19	27.3	26.8	26.1	25.3	25.4	-9	24.1
23.3	19.6	26.8	26.6	26.3	25	26	-9	23.1
20.5	22.7	23.9	26.4	24.9	25.3	26.1	-9	22.8
21.4	20.7	24.1	27	22.3	25.6	24.1	-9	23.1
24.6	19.9	26.6	27.7	23.4	26.3	24	-9	26.4
26.4	21	27.8	27.4	25.5	24.1	25.9	-9	27.3
27.6	20	28	26.4	22.1	-9	27.5	-9	21.9
27.9	21	27.3	26.1	21.9	-9	28.7	-9	18.2
23.1	20.7	26.8	26.5	23.1	-9	28.9	-9	23.5
23.3	20.4	26.7	27.2	26.8	-9	25.6	-9	21.1
25.9	22	28.1	28	24.5	-9	27.7	-9	21.1
25.5	22.7	27.2	-9	23.5	-9	28.8	-9	21.8
25.8	20.9	25.2	-9	23.4	-9	28.9	-9	23.1
21.8	18.3	25.9	-9	25.6	-9	26.2	-9	22.8
21.3	18.7	25.3	-9	27	-9	24.2	-9	23.3
23.4	19.6	25.9	-9	26.3	-9	26.2	-9	23.1
21.1	18.5	25.7	-9	22.9	-9	26.9	-9	21.5
22.1	19.2	25.8	-9	23.1	-9	28.1	-9	21.4
25	20.2	25.3	-9	26.1	-9	28.1	-9	21.1
17.2	21.6	24.7	-9	26.5	-9	28.7	-9	19.6
16.6	20.6	-9	-9	25.3	-9	26.9	-9	22.5
17.4	20.6	-9	-9	23.8	-9	21.3	-9	20.9
18.9	20.7	-9	-9	22.2	-9	23.2	-9	20.3
19.8	20.8	-9	-9	24.6	-9	24.9	-9	22
20.5	22.4	-9	-9	24.5	-9	25.5	-9	20.2
20.7	20	-9	-9	24.1	-9	23.7	-9	18.3
17.3	17.3	-9	-9	23.9	-9	20.2	-9	20.2
17.5	16.7	-9	-9	24.3	-9	20	-9	20.6
18.1	18.1	-9	-9	22.9	-9	22.4	-9	19.6
17.6	16.2	-9	-9	24.7	-9	22.8	-9	21.9
17.3	16.6	-9	-9	24.4	-9	21.8	-9	22.5
18.7	15.8	-9	-9	25.5	-9	23.2	-9	21.6
19.7	15.4	-9	-9	25	-9	24.5	-9	21.4
17.4	-9	-9	-9	25	-9	25.3	-9	21.2
16.9	-9	-9	-9	19.8	-9	25.2	-9	20.5
17.4	-9	-9	-9	21.3	-9	24.8	-9	-9
15.6	-9	-9	-9	21.4	-9	25.5	-9	-9
15.8	-9	-9	-9	19.1	-9	26.7	-9	-9
15	-9	-9	-9	21.2	-9	26.8	-9	-9
16	-9	-9	-9	17.6	-9	24.9	-9	-9
16.3	-9	-9	-9	16.2	-9	24.3	-9	-9
13.9	-9	-9	-9	16.2	-9	25.4	-9	-9
13.9	-9	-9	-9	16	-9	25.1	-9	-9
15.4	-9	-9	-9	18.7	-9	24.5	-9	-9
13.7	-9	-9	-9	19.8	-9	22.1	-9	-9
15	-9	-9	-9	17.4	-9	21.3	-9	-9
